"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT08","WT10"
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-01","0.23",,,"74","77","72","    1",,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-02","0.00",,,"76","83","71",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-03","0.00",,,"78","83","76",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-04","0.00",,,"79","84","73",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-05","0.00",,,"75","82","68","    1",,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-06","0.00",,,"77","82","71",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-07","0.00",,,"73","78","60",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-08","0.00",,,"63","72","56",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-09","0.31",,,"71","79","62","    1",,,"    1",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-10","0.00",,,"66","76","57",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-11","0.07",,,"75","79","73","    1",,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-12","0.03",,,"77","82","73",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-13","0.07",,,"75","81","69","    1",,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-14","0.00",,,"72","78","67","    1","    1",,"    1",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-15","0.26",,,"69","78","63","    1",,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-16","0.01",,,"65","72","57","    1",,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-17","0.00",,,"63","76","53",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-18","0.00",,,"69","77","58",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-19","0.00",,,"63","75","51",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-20","0.00",,,"67","74","59",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-21","0.02",,,"71","80","65",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-22","0.00",,,"73","79","63",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-23","0.00",,,"75","80","72",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-24","0.00",,,"73","77","55","    1",,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-25","0.00",,,"58","68","47",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-26","0.05",,,"60","74","51","    1",,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-27","0.00",,,"59","69","49",,,,,
